1,4.58E+08,Institute of Advanced Medical Esthetics                               ,Main Campus                                                           ,3108 Parham Rd 604D Annex                                                 ,Richmond            ,VA,2.33E+08,9,"Private for-profit, less-than 2-year",0,1,1,A ,0,0,0,0,0,0,0,0,0,0,0,0
4,4.46E+08,John D Rockefeller IV Career Center                                   ,John D. Rockefeller IV Career Center                                  ,80 Rockefeller Circle                                                     ,NEW CUMBERLAND      ,WV,26047,7,"Public, less-than 2-year            ",2,1,3,A ,0,0,0,0,0,0,0,0,0,0,0,0
5,4.33E+08,Blessing Hospital School of Medical Laboratory Technology             ,Main Campus                                                           ,BROADWAY AT 11TH ST                                                       ,QUINCY              ,IL,6.23E+08,8,"Private nonprofit, less-than 2-year ",2,2,4,A ,0,0,0,0,0,0,1,0,0,0,0,0
7,4.31E+08,Herndon Career Center                                                 ,Main Campus                                                           ,11501 East 350 Highway                                                    ,Raytown             ,MO,6.41E+08,7,"Public, less-than 2-year            ",6,0,6,A ,0,0,0,0,0,0,0,1,0,1,0,0
11,2.24E+08,Capitol City Careers                                                  ,Capitol City Careers                                                  ,"5424 Highway 290 West, Suite 200                                          ",AUSTIN              ,TX,78735,6,"Private for-profit, 2-year          ",1,9,10,B ,0,0,0,0,0,0,0,0,0,0,0,0
12,1.31E+08,Yale-New Haven Hospital Dietetic Internship                           ,Yale-New Haven Hospital                                               ,20 YORK ST EPB 806                                                        ,NEW HAVEN           ,CT,6510,2,"Private nonprofit, 4-year or above  ",1,9,10,F ,0,0,0,0,27,19,8,5,0,0,0,0
13,1.53E+08,American College of Hairstyling-Cedar Rapids                          ,Main Campus                                                           ,1531 FIRST AVE SE                                                         ,CEDAR RAPIDS        ,IA,52402,6,"Private for-profit, 2-year          ",6,5,11,A ,0,0,0,0,0,0,0,0,0,0,0,0
14,4.75E+08,ASI Career Institute                                                  ,Main Campus                                                           ,5360 Black Horse Pike                                                     ,Turnersville        ,NJ,8.01E+07,9,"Private for-profit, less-than 2-year",1,10,11,A ,0,0,0,0,0,0,0,0,0,0,0,0
15,4.58E+08,Cannon Institute of Higher Learning                                   ,Cannon Institute of Higher Learning                                   ,8500 N Stemmons Pkwy Ste 3030                                             ,Dallas              ,TX,75247,9,"Private for-profit, less-than 2-year",5,6,11,C-,0,0,0,0,10,0,5,8,0,0,0,0
17,4.19E+08,Pipo Academy of Hair Design                                           ,PIPO ACADEMY OF HAIR DESIGN                                           ,3000 PERSHING DR                                                          ,EL PASO             ,TX,79903,9,"Private for-profit, less-than 2-year",3,8,11,C ,0,0,0,0,0,0,0,0,0,0,0,0
